vote,better,bornuk,sex,age,educ
1,0,0,0,75,
1,7,0,0,70,2
1,8,0,1,54,3
1,0,0,0,58,2
1,7,0,0,76,1
1,5,0,0,72,2
1,6,0,0,63,3
1,5,1,1,76,1
1,3,0,1,58,1
1,7,0,0,21,2
1,5,0,0,80,1
1,,0,0,82,2
1,0,0,0,90,3
1,4,1,0,62,2
1,5,0,0,40,2
1,7,0,0,48,2
1,5,0,0,73,3
1,5,0,1,71,2
1,5,0,0,67,1
1,5,0,1,38,3
1,5,0,0,73,1
1,0,1,0,36,3
1,9,0,1,62,3
1,8,0,0,70,2
1,8,0,1,76,2
1,7,0,0,57,2
1,3,0,1,66,
1,7,0,0,61,3
1,7,0,0,33,2
1,10,0,0,59,3
1,6,0,1,48,3
1,6,0,0,51,1
1,4,0,0,50,1
1,6,0,1,66,1
1,3,0,1,70,1
1,10,1,0,34,3
1,8,0,1,90,2
1,2,0,0,70,
1,5,0,1,55,3
1,3,0,0,42,2
1,6,0,1,36,3
1,4,0,1,64,1
1,7,0,0,24,3
1,5,0,0,80,1
1,4,0,1,68,2
1,5,0,1,37,2
1,4,0,0,71,3
1,8,1,0,49,2
1,5,0,1,47,1
1,7,0,0,35,3
1,2,0,0,68,2
1,7,0,1,80,2
1,10,0,0,61,2
1,3,0,1,66,2
1,5,0,1,59,1
1,8,0,1,48,3
1,7,0,0,67,2
1,5,0,0,72,3
1,6,0,0,55,1
1,3,0,1,63,1
1,10,0,0,38,3
1,5,0,0,52,3
1,2,0,1,45,2
1,8,0,1,66,
1,5,0,0,71,1
1,4,0,0,82,1
1,6,0,0,60,1
1,6,0,1,89,3
1,,0,0,56,1
1,7,0,0,56,2
1,3,0,1,80,1
1,5,0,1,67,2
1,5,0,1,40,2
1,4,0,0,55,2
1,5,0,0,77,2
1,7,0,0,71,2
1,9,0,0,57,1
1,2,0,0,62,2
1,3,0,1,56,2
1,5,0,1,77,1
1,5,0,1,77,1
1,9,0,0,63,3
1,5,0,1,80,2
1,,0,1,75,2
1,3,0,1,57,2
1,3,0,0,68,
1,2,0,0,63,2
1,1,0,1,44,2
1,3,0,0,59,3
1,3,0,1,25,1
1,5,0,1,76,2
1,8,0,1,19,2
1,5,0,0,56,2
1,7,0,0,50,3
1,7,0,0,77,2
1,7,0,0,36,3
1,5,0,1,67,2
1,5,0,0,51,2
1,7,1,1,90,1
1,5,0,1,32,3
1,5,0,0,56,1
1,5,0,1,61,1
1,5,0,1,56,2
1,1,0,0,72,2
1,4,0,1,55,2
1,5,0,1,57,1
1,5,0,1,46,2
1,5,0,0,36,3
1,4,0,0,82,3
1,4,0,1,47,2
1,8,0,1,64,1
1,3,0,1,74,1
1,4,0,0,41,3
1,2,0,0,60,2
1,8,0,0,58,1
1,2,0,0,71,2
1,5,0,0,78,2
1,3,0,0,87,3
1,6,0,0,64,3
1,7,0,1,59,2
1,6,0,1,57,2
1,6,0,0,80,1
1,3,0,0,80,2
1,7,0,1,49,3
1,4,0,1,82,1
1,7,0,1,58,3
1,0,0,1,70,
1,5,0,0,63,3
1,1,0,0,50,2
1,4,0,1,57,2
1,7,0,0,39,3
1,5,0,0,36,3
1,3,0,1,74,1
1,3,0,1,60,1
1,4,0,0,79,1
1,5,0,1,78,2
1,5,0,0,79,2
1,2,0,0,71,2
1,,0,1,58,3
1,7,0,1,80,1
1,0,0,0,76,1
1,4,1,0,74,2
1,5,0,0,69,1
1,5,0,1,84,2
1,5,0,1,35,3
1,5,0,1,62,2
1,5,0,0,56,1
1,5,0,1,43,2
1,7,0,1,55,2
1,6,0,1,58,1
1,1,0,1,31,1
1,4,0,0,35,2
1,3,0,1,79,1
1,2,0,1,78,2
1,3,0,0,90,3
1,7,0,1,67,1
1,6,0,1,56,2
1,7,0,1,44,2
1,4,0,0,54,2
1,6,0,1,56,2
1,5,0,0,55,2
1,5,0,1,33,1
1,3,0,0,75,1
1,5,0,0,72,1
1,9,0,1,71,2
1,0,0,0,54,2
1,4,0,0,77,
1,5,0,1,35,2
1,5,0,1,68,1
1,2,0,0,45,2
1,5,1,1,66,2
1,5,0,1,48,3
1,10,0,1,67,
1,1,0,0,65,2
1,4,0,1,27,2
1,,0,0,73,2
1,5,0,0,77,3
1,8,0,1,55,2
1,8,1,1,50,2
1,5,0,0,31,2
1,4,0,0,37,3
1,7,0,1,79,1
1,6,0,0,69,2
1,7,0,0,84,1
1,3,0,1,86,1
1,6,0,0,55,1
1,8,0,1,,3
1,0,0,0,48,2
1,5,0,0,60,3
1,8,0,1,73,1
1,8,0,0,65,2
1,5,0,1,83,3
1,5,0,0,69,1
1,5,0,0,58,2
1,4,0,0,71,1
1,5,0,1,70,3
1,6,0,0,65,2
1,7,0,1,48,3
1,2,0,0,59,2
1,0,0,0,80,1
1,5,0,1,35,3
1,9,0,1,71,1
1,7,0,0,79,3
1,7,1,1,66,1
1,0,0,0,53,1
1,2,0,0,33,2
1,5,0,0,89,1
1,6,0,1,35,3
1,5,0,0,74,2
1,4,0,1,62,2
1,10,0,0,54,2
1,3,0,1,68,1
1,1,0,0,85,1
1,8,0,1,66,2
1,8,0,1,47,3
1,4,0,1,77,2
1,5,0,0,,2
1,5,0,1,78,1
1,5,0,0,80,2
1,1,0,0,75,3
1,4,0,0,82,3
1,7,0,0,56,3
1,5,0,1,71,2
1,5,0,0,50,3
1,0,0,0,64,3
1,8,0,0,37,3
1,8,0,1,30,3
1,9,0,1,88,1
1,6,0,0,52,3
1,5,0,0,51,2
1,2,0,0,63,3
1,5,0,0,79,2
1,5,0,0,78,1
1,6,0,1,26,2
1,7,0,1,52,2
1,5,0,0,49,2
1,5,0,1,40,2
1,2,1,1,63,3
1,5,0,1,74,1
1,5,0,1,70,2
1,5,0,0,67,2
1,2,0,1,60,1
1,6,0,1,78,1
1,2,0,1,32,3
1,7,0,1,63,2
1,4,0,1,49,2
1,6,0,0,62,1
1,5,0,0,30,2
1,5,0,0,78,1
1,5,0,1,85,1
1,4,0,1,84,1
1,5,0,0,63,1
1,6,0,1,69,1
1,3,0,0,75,2
1,5,0,1,81,1
1,7,1,0,74,1
1,4,0,1,37,2
1,,1,1,65,
1,7,0,0,66,3
1,5,0,1,61,2
1,4,0,1,57,2
1,10,1,0,76,1
1,4,0,1,54,1
1,3,0,1,84,1
1,5,0,0,72,3
1,5,0,1,58,3
1,6,0,1,70,3
1,6,0,0,41,3
